Market,Address,City,County,ZIP,Contact,Phone,Phone check,Website,Website check,Resolved address,Season,Hours,SNAP,FMNP,Duplicate of,Source,Accessed
Huntington Farm Stand I,9715 Ridge Rd.,Middleport,Niagara,14105,Dan Huntington,(716) 393-0590,Valid 10-digit number,,No website listed,,June 14-October 11,Sun 10am-6pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
Newfane Methodist Farmers' Market,2699 Main St.,Newfane,Niagara,14108,Amy Luckman,(716) 778-7011,Valid 10-digit number,,No website listed,,June 24-September 9,Wed 4:30pm-7pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
Niagara Falls City Friday Farmers' Market,779 East Market Street,Niagara Falls,Niagara,14301,Joanna Congi,(716) 804-2922,Valid 10-digit number,https://www.niagarafallsusa.com/directory/niagara-falls-city-market/,OK,,June 5-November 20,Fri 8am-4pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
Niagara Falls City Monday Farmers' Market,779 East Market Street,Niagara Falls,Niagara,14301,Joanna Congi,(716) 804-2922,Valid 10-digit number,,No website listed,,June 1-November 16,Mon 8am-4pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
Niagara Falls City Wednesday Farmers' Market,779 East Market Street,Niagara Falls,Niagara,14301,Joanna Congi,(716) 804-2922,Valid 10-digit number,,No website listed,,June 3-November 18,Wed 8am-4pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
North Tonawanda City Sat Farmers' Market,310 Robinson Road,North Tonawanda,Niagara,14120,Chris Del Prince,(716) 695-8000,Valid 10-digit number,,No website listed,,Year-round,Sat 7am-1pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
North Tonawanda City Thu Farmers' Market,310 Robinson Road,North Tonawanda,Niagara,14120,Chris Del Prince,(716) 695-8000,Valid 10-digit number,,No website listed,,Year-round,Thu 7am-1pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
North Tonawanda City Tue Farmers' Market,310 Robinson Road,North Tonawanda,Niagara,14120,Chris Del Prince,(716) 695-8000,Valid 10-digit number,,No website listed,,Year-round,Tue 7am-1pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
Fleckenstein Farms Farm Stand,2813 Youngstown Lockport Road,Ransomville,Niagara,14131,Robin Heath,(716) 495-3527,Valid 10-digit number,https://www.fleckensteinfarms.com/,Unreachable (connection failed),,April 25-October 31,"Mon-Fri 11am-5pm, Sat/Sun 9am-6pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
Randy Becken Farm Stand,3302 Upper Mountain Road,Sanborn,Niagara,14132,Randy Becken,(716) 545-8706,Valid 10-digit number,,No website listed,,August 5-November 8,"Wed-Sat 10am-6pm, Sun 10am-5pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
Wilson Community Farmers' Market,186 Harbor Street,Wilson,Niagara,14172,Eileen Neisen,(716) 544-1911,Valid 10-digit number,http://www.wilsonfarmersmarket.org,OK (redirects),https://www.wilsonfarmersmarket.org/,May 19-September 29,Tue 5pm-8pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
Navarras Farm & Greenhouse Farm Stand,3272 Eagle Harbor Road,Albion,Orleans,14411,Amanda Mrzyuka,(585) 589-4674,Valid 10-digit number,http://navarrasfarmmarketandgreenhouses.net,OK (redirects),https://www.navarrasfarmmarketandgreenhouses.net/,Year-round,Daily 10am-5pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Orleans",2026-09-08
Panek's Farm Stand,13420 W County House Road,Albion,Orleans,14411,Guinevere Panek,(585) 589-6155,Valid 10-digit number,http://www.panekspickinpatch.com,OK (redirects),https://www.panekspickinpatch.com/,June 1-October 31,"Mon-Sat 9am-5pm, Sun 12Pm-5pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Orleans",2026-09-08
Rush's Vegetables Farm Stand,2120 Eagle Harbor Waterport Rd.,Albion,Orleans,14411,Kenneth Rush,(585) 590-2786,Valid 10-digit number,,No website listed,,June 1-November 1,Daily 9am-7pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Orleans",2026-09-08
Lori's Market Basket Farm Stand,51 State Street,Holley,Orleans,14470,Lori Passarell,(585) 638-7113,Valid 10-digit number,,No website listed,,May 1-November 30,Daily 9am-6pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Orleans",2026-09-08
Rosario Farm Farm Stand,2050 Transit Road,Kent,Orleans,14471,Iris Rosario Reyes,(585) 283-1504,Valid 10-digit number,,No website listed,,June 1-October 31,"Wed 4:30pm, Sat 9am-1pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Orleans",2026-09-08
Canal Village Farmers' Market,345 Main St.,Medina,Orleans,14103,Gail Miller,(585) 798-3904,Valid 10-digit number,,No website listed,,June 6-October 31,Sat 9am-2pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Orleans",2026-09-08
Canal Village Winter Farmers' Market,345 North Main St,Medina,Orleans,14103,Gail Miller,(585) 798-3904,Valid 10-digit number,http://www.facebook.com/hashtag/canalvillagefarmersmarket,OK (redirects),https://www.facebook.com/hashtag/canalvillagefarmersmarket,November 2-May 31,Sat 9am-1pm,Yes,No,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Orleans",2026-09-08
Roberts Farm Stand,11170 Maple Ridge Road,Medina,Orleans,14103,Patrick Roberts,(585) 798-4247,Valid 10-digit number,http://www.robertsfarmmarket.com,OK (redirects),https://robertsfarmmarket.com/,Year-round,Mon-Sat 8am-6pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Orleans",2026-09-08
Roberts Circle R Farm Stand,13490 Roosevelt Highway,Waterport,Orleans,14571,Laurie Gregori,(585) 682-4435,Valid 10-digit number,,No website listed,,May 9-October 31,Daily 9am-9pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Orleans",2026-09-08
Merle's Fresh Produce Farm Stand,1408 Creek Road,Attica,Wyoming,14011,Ashley Merle,(585) 708-1465,Valid 10-digit number,,No website listed,,June 1-December 31,Mon-Sat 10am-6pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Wyoming",2026-09-08
Perry Farmers' Market,Main St and Borden Ave,Perry,Wyoming,14530,Rick Hauser,(585) 991-3893,Valid 10-digit number,http://www.perryfarmersmarket.com,OK (redirects),https://www.insitearch.com/pfm,June 20-September 26,Sat 8:30am-12:30pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Wyoming",2026-09-08
Burley Berries Farm Stand,6335 Route 20A East,Warsaw,Wyoming,14569,Megan Burley,(814) 648-0178,Valid 10-digit number,,No website listed,,Year-round,Daily 10am-7pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Wyoming",2026-09-08
